"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2025-05-14","15:15:00",5891.67,"1 May 14 5910 C STO 0.65 | 1 May 14 5920 C BTO 0.25",40,5892.58,"2025-05-14","16:00:00",0,"Expired",40,1,22212,960,"",2.6,1,18.23,18.6,10.19,-5.07,100,0
"2025-05-13","15:15:00",5903.26,"1 May 13 5920 C STO 0.85 | 1 May 13 5930 C BTO 0.30",55,5886.55,"2025-05-13","16:00:00",0,"Expired",55,1,22172,945,"",2.83,1,17.81,18.29,9.96,49.11,100,-45.45
"2025-05-12","15:15:00",5832.96,"1 May 12 5850 C STO 1.00 | 1 May 12 5860 C BTO 0.35",65,5844.19,"2025-05-12","16:00:00",0,"Expired",65,1,22117,935,"",2.86,1,18.64,18.22,147.29,25.76,100,-46.15
"2025-05-09","15:15:00",5670.41,"1 May 9 5695 C STO 0.75 | 1 May 9 5705 C BTO 0.40",35,5659.91,"2025-05-09","16:00:00",0,"Expired",35,1,22052,965,"",1.88,1,21.97,22.03,15.71,-9.24,100,0
"2025-05-08","15:15:00",5696.31,"1 May 8 5720 C STO 1.00 | 1 May 8 5730 C BTO 0.50",50,5663.94,"2025-05-08","16:00:00",0,"Expired",50,1,22017,950,"",2,1,22.19,22.58,32.32,32.71,100,-240
"2025-05-07","15:15:00",5618.42,"1 May 7 5655 C STO 1.25 | 1 May 7 5665 C BTO 0.70",55,5631.28,"2025-05-07","16:00:00",0,"Expired",55,1,21967,945,"",1.79,1,24.09,23.72,7.27,4.24,100,-427.27
"2025-05-06","15:15:00",5622.92,"1 May 6 5645 C STO 0.55 | 1 May 6 5655 C BTO 0.25",30,5606.91,"2025-05-06","16:00:00",0,"Expired",30,1,21912,970,"",2.2,1,24.48,24.72,-44.51,17.05,100,-66.67
"2025-05-05","15:15:00",5670.09,"1 May 5 5690 C STO 0.50 | 1 May 5 5700 C BTO 0.20",30,5650.38,"2025-05-05","16:00:00",0,"Expired",30,1,21882,970,"",2.5,1,23.13,23.54,-31.35,14.77,100,-33.33
"2025-05-02","15:15:00",5684.25,"1 May 2 5710 C STO 0.65 | 1 May 2 5720 C BTO 0.30",35,5686.67,"2025-05-02","16:00:00",0,"Expired",35,1,21852,965,"",2.17,1,22.64,22.7,41.74,38.37,100,-214.29
"2025-05-01","15:15:00",5633.67,"1 May 1 5660 C STO 0.75 | 1 May 1 5670 C BTO 0.40",35,5604.14,"2025-05-01","16:00:00",0,"Expired",35,1,21817,965,"",1.88,1,23.62,24.09,56.08,8.53,100,-42.86
"2025-04-30","15:15:00",5525.58,"1 Apr 30 5560 C STO 1.15 | 1 Apr 30 5570 C BTO 0.70",45,5569.06,"2025-04-30","16:00:00",906,"Expired",-861,1,21782,955,"",1.64,13.571,25.3,24.93,-61.39,26.14,77.78,-1913.33
"2025-04-29","15:15:00",5566.24,"1 Apr 29 5585 C STO 0.95 | 1 Apr 29 5595 C BTO 0.40",55,5560.83,"2025-04-29","16:00:00",0,"Expired",55,1,22643,945,"",2.38,1,24.13,24.21,-19.88,57.37,100,0
"2025-04-28","15:15:00",5515.7,"1 Apr 28 5535 C STO 0.95 | 1 Apr 28 5545 C BTO 0.40",55,5528.75,"2025-04-28","16:00:00",0,"Expired",55,1,22588,945,"",2.38,1,25.2,24.99,4.01,-13.52,100,-745.45
"2025-04-25","15:15:00",5516.89,"1 Apr 25 5540 C STO 0.65 | 1 Apr 25 5550 C BTO 0.25",40,5525.21,"2025-04-25","16:00:00",0,"Expired",40,1,22533,960,"",2.6,1,25.34,25.05,4.96,27.16,100,-87.5
"2025-04-24","15:15:00",5465.44,"1 Apr 24 5495 C STO 0.85 | 1 Apr 24 5505 C BTO 0.35",50,5484.77,"2025-04-24","16:00:00",0,"Expired",50,1,22493,950,"",2.43,1,27,26.68,5.52,84.06,100,-260
"2025-04-23","15:15:00",5372.37,"1 Apr 23 5410 C STO 1.20 | 1 Apr 23 5420 C BTO 0.70",50,5375.86,"2025-04-23","16:00:00",0,"Expired",50,1,22443,950,"",1.71,1,28.86,28.48,108.16,-23.55,100,0
"2025-04-22","15:15:00",5273.75,"1 Apr 22 5300 C STO 1.25 | 1 Apr 22 5310 C BTO 0.55",70,5287.76,"2025-04-22","16:00:00",0,"Expired",70,1,22393,930,"",2.27,1,30.78,30.5,49.47,66.08,100,-57.14
"2025-04-21","15:15:00",5116.8,"1 Apr 21 5150 C STO 1.20 | 1 Apr 21 5160 C BTO 0.70",50,5158.2,"2025-04-21","16:00:00",820,"Expired",-770,1,22323,950,"",1.71,32.667,34.72,33.69,-49.76,-116.14,40,-1810
"2025-04-17","15:15:00",5290.08,"1 Apr 17 5320 C STO 1.25 | 1 Apr 17 5330 C BTO 0.60",65,5282.7,"2025-04-17","16:00:00",0,"Expired",65,1,23093,935,"",2.08,1,30.59,30.08,29.75,-15.37,100,-23.08
"2025-04-16","15:15:00",5237.67,"1 Apr 16 5275 C STO 1.55 | 1 Apr 16 5285 C BTO 0.95",60,5275.7,"2025-04-16","16:00:00",70,"Expired",-10,1,23028,940,"",1.63,24,33.93,32.74,-60.88,-98.08,75,-341.67
"2025-04-15","15:15:00",5407.7,"1 Apr 15 5435 C STO 0.80 | 1 Apr 15 5445 C BTO 0.40",40,5396.63,"2025-04-15","16:00:00",0,"Expired",40,1,23038,960,"",2,1,28.98,30.02,6.02,-4.29,100,-37.5
"2025-04-14","15:15:00",5442.31,"1 Apr 14 5470 C STO 1.20 | 1 Apr 14 5480 C BTO 0.60",60,5405.97,"2025-04-14","16:00:00",0,"Expired",60,1,22998,940,"",2,1,29.92,30.64,78.6,0.35,100,0
"2025-04-11","15:15:00",5368.41,"1 Apr 11 5425 C STO 2.30 | 1 Apr 11 5435 C BTO 1.65",65,5363.36,"2025-04-11","16:00:00",0,"Expired",65,1,22938,935,"",1.39,1,38.08,37.98,-12.49,112.85,100,0
"2025-04-10","15:15:00",5270.03,"1 Apr 10 5360 C STO 3.30 | 1 Apr 10 5370 C BTO 2.60",70,5268.05,"2025-04-10","16:00:00",0,"Expired",70,1,22873,930,"",1.27,1,43.08,40.86,-103.75,-83.12,100,-107.14
"2025-04-09","15:15:00",5393.81,"1 Apr 9 5485 C STO 3.30 | 1 Apr 9 5495 C BTO 2.50",80,5456.9,"2025-04-09","16:00:00",0,"Expired",80,1,22803,920,"",1.32,1,34.41,33.76,-17.49,428.53,100,-325
"2025-04-08","15:15:00",4982.72,"1 Apr 8 5060 C STO 3.20 | 1 Apr 8 5070 C BTO 2.45",75,4982.77,"2025-04-08","16:00:00",0,"Expired",75,1,22723,925,"",1.31,1,53.78,52.76,131.32,-210.85,100,-26.67
