"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","No. of Contracts","Funds at Close","Margin Req.","Strategy","Gap","Movement","Max Profit","Max Loss"
"2024-07-12","11:00:00",5630.86,"1 Jul 12 5605 P STO 1.85 | 1 Jul 12 5650 C STO 1.95",380,5615.35,"2024-07-12","16:00:00",0,"Expired",380,1,129295,110703.2,"0dte_strangle_15delta_1100",6.22,40.1,100,-156.58
"2024-07-12","11:00:00",5630.86,"1 Jul 12 5610 P STO 2.45 | 1 Jul 12 5650 C STO 1.95",440,5615.35,"2024-07-12","16:00:00",0,"Expired",440,1,128915,110703.2,"0dte_strangle_20delta_1100 ",6.22,40.1,100,-122.73
"2024-07-11","15:15:00",5587.97,"1 Jul 12 5540 P STO 2.10 | 1 Jul 12 5635 C STO 1.80",390,5615.35,"2024-07-12","16:00:00",0,"Expired",390,1,128475,107056.4,"1dte_strangle_10delta_1515",1.3,-47.24,100,-457.69
"2024-07-11","15:15:00",5587.97,"1 Jul 12 5550 P STO 3.05 | 1 Jul 12 5625 C STO 3.05",610,5615.35,"2024-07-12","16:00:00",0,"Expired",610,1,128085,108056.4,"1dte_strangle_15delta_1515",1.3,-47.24,100,-413.11
"2024-07-11","15:15:00",5587.97,"1 Jul 12 5560 P STO 4.45 | 1 Jul 12 5625 C STO 3.05",750,5615.35,"2024-07-12","16:00:00",0,"Expired",750,1,127475,108962.4,"1dte_strangle_20delta_1515",1.3,-47.24,100,-317.33
"2024-07-11","11:00:00",5602.76,"1 Jul 11 5565 P STO 1.20 | 1 Jul 11 5635 C STO 1.15",235,5584.54,"2024-07-11","16:00:00",0,"Expired",235,1,126725,108831.2,"0dte_strangle_10delta_1100",1.3,-32.45,100,-97.87
"2024-07-11","11:00:00",5602.76,"1 Jul 11 5575 P STO 2.10 | 1 Jul 11 5630 C STO 1.75",385,5584.54,"2024-07-11","16:00:00",0,"Expired",385,1,126490,109331.2,"0dte_strangle_15delta_1100",1.3,-32.45,100,-107.79
"2024-07-11","11:00:00",5602.76,"1 Jul 11 5580 P STO 2.80 | 1 Jul 11 5625 C STO 2.55",535,5584.54,"2024-07-11","16:00:00",0,"Expired",535,1,126105,109831.2,"0dte_strangle_20delta_1100 ",1.3,-32.45,100,-92.52
"2024-07-10","15:15:00",5618.78,"1 Jul 11 5560 P STO 2.45 | 1 Jul 11 5675 C STO 1.70",415,5584.54,"2024-07-11","16:00:00",0,"Expired",415,1,125570,106753.6,"1dte_strangle_10delta_1515",14.28,27.52,100,-20.48
"2024-07-10","15:15:00",5618.78,"1 Jul 11 5570 P STO 3.65 | 1 Jul 11 5665 C STO 3.05",670,5584.54,"2024-07-11","16:00:00",0,"Expired",670,1,125155,107753.6,"1dte_strangle_15delta_1515",14.28,27.52,100,-22.39
"2024-07-10","15:15:00",5618.78,"1 Jul 11 5580 P STO 5.35 | 1 Jul 11 5665 C STO 3.05",840,5584.54,"2024-07-11","16:00:00",0,"Expired",840,1,124485,108497.6,"1dte_strangle_20delta_1515",14.28,27.52,100,-17.86
"2024-07-10","11:00:00",5589.41,"1 Jul 10 5565 P STO 0.95 | 1 Jul 10 5610 C STO 0.65",160,5633.91,"2024-07-10","16:00:00",2391,"Expired",-2231,1,123645,109729.2,"0dte_strangle_10delta_1100",14.28,-1.85,18.75,-1450
"2024-07-10","11:00:00",5589.41,"1 Jul 10 5570 P STO 1.35 | 1 Jul 10 5605 C STO 1.20",255,5633.91,"2024-07-10","16:00:00",2891,"Expired",-2636,1,125876,110229.2,"0dte_strangle_15delta_1100",14.28,-1.85,11.76,-1068.63
"2024-07-10","11:00:00",5589.41,"1 Jul 10 5575 P STO 2.00 | 1 Jul 10 5600 C STO 2.20",420,5633.91,"2024-07-10","16:00:00",3391,"Expired",-2971,1,128512,110729.2,"0dte_strangle_20delta_1100 ",14.28,-1.85,9.52,-728.57
"2024-07-09","15:15:00",5577.52,"1 Jul 10 5540 P STO 1.20 | 1 Jul 10 5610 C STO 1.05",225,5633.91,"2024-07-10","16:00:00",2391,"Expired",-2166,1,131483,108302.4,"1dte_strangle_10delta_1515",11.39,-6.72,66.67,-1002.22
"2024-07-09","15:15:00",5577.52,"1 Jul 10 5550 P STO 2.25 | 1 Jul 10 5605 C STO 1.65",390,5633.91,"2024-07-10","16:00:00",2891,"Expired",-2501,1,133649,108798.4,"1dte_strangle_15delta_1515",11.39,-6.72,62.82,-664.1
"2024-07-09","15:15:00",5577.52,"1 Jul 10 5555 P STO 3.05 | 1 Jul 10 5605 C STO 1.65",470,5633.91,"2024-07-10","16:00:00",2891,"Expired",-2421,1,136150,109298.4,"1dte_strangle_20delta_1515",11.39,-6.72,67.02,-534.04
"2024-07-09","11:00:00",5582.74,"1 Jul 9 5555 P STO 0.90 | 1 Jul 9 5605 C STO 0.75",165,5576.98,"2024-07-09","16:00:00",0,"Expired",165,1,138571,109428.8,"0dte_strangle_10delta_1100",11.39,-1.5,100,-3.03
"2024-07-09","11:00:00",5582.74,"1 Jul 9 5565 P STO 1.80 | 1 Jul 9 5600 C STO 1.35",315,5576.98,"2024-07-09","16:00:00",0,"Expired",315,1,138406,109928.8,"0dte_strangle_15delta_1100",11.39,-1.5,100,-3.17
"2024-07-09","11:00:00",5582.74,"1 Jul 9 5565 P STO 1.80 | 1 Jul 9 5595 C STO 2.30",410,5576.98,"2024-07-09","16:00:00",0,"Expired",410,1,138091,110428.8,"0dte_strangle_20delta_1100 ",11.39,-1.5,100,-1.22
"2024-07-08","15:15:00",5568.22,"1 Jul 9 5530 P STO 1.30 | 1 Jul 9 5600 C STO 1.15",245,5576.98,"2024-07-09","16:00:00",0,"Expired",245,1,137681,108186.4,"1dte_strangle_10delta_1515",5.56,-4.53,100,-38.78
"2024-07-08","15:15:00",5568.22,"1 Jul 9 5540 P STO 2.30 | 1 Jul 9 5595 C STO 1.80",410,5576.98,"2024-07-09","16:00:00",0,"Expired",410,1,137436,108686.4,"1dte_strangle_15delta_1515",5.56,-4.53,100,-32.93
"2024-07-08","15:15:00",5568.22,"1 Jul 9 5545 P STO 3.05 | 1 Jul 9 5595 C STO 1.80",485,5576.98,"2024-07-09","16:00:00",0,"Expired",485,1,137026,109042.4,"1dte_strangle_20delta_1515",5.56,-4.53,100,-15.46
"2024-07-08","11:00:00",5572.19,"1 Jul 8 5545 P STO 1.10 | 1 Jul 8 5590 C STO 0.85",195,5572.85,"2024-07-08","16:00:00",0,"Expired",195,1,136541,109662.8,"0dte_strangle_10delta_1100",5.56,-0.56,100,-5.13
"2024-07-08","11:00:00",5572.19,"1 Jul 8 5550 P STO 1.45 | 1 Jul 8 5590 C STO 0.85",230,5572.85,"2024-07-08","16:00:00",0,"Expired",230,1,136346,109662.8,"0dte_strangle_15delta_1100",5.56,-0.56,100,-17.39
"2024-07-08","11:00:00",5572.19,"1 Jul 8 5555 P STO 1.95 | 1 Jul 8 5585 C STO 1.60",355,5572.85,"2024-07-08","16:00:00",0,"Expired",355,1,136116,110162.8,"0dte_strangle_20delta_1100 ",5.56,-0.56,100,-12.68
"2024-07-05","11:00:00",5543.67,"1 Jul 5 5515 P STO 1.35 | 1 Jul 5 5565 C STO 0.90",225,5567.19,"2024-07-05","16:00:00",219,"Expired",6,1,135761,108740.4,"0dte_strangle_10delta_1100",0.89,5.76,28.89,-146.67
"2024-07-05","11:00:00",5543.67,"1 Jul 5 5520 P STO 1.75 | 1 Jul 5 5560 C STO 1.50",325,5567.19,"2024-07-05","16:00:00",719,"Expired",-394,1,135755,109240.4,"0dte_strangle_15delta_1100",0.89,5.76,9.23,-218.46
"2024-07-05","11:00:00",5543.67,"1 Jul 5 5525 P STO 2.35 | 1 Jul 5 5560 C STO 1.50",385,5567.19,"2024-07-05","16:00:00",719,"Expired",-334,1,136149,109240.4,"0dte_strangle_20delta_1100 ",0.89,5.76,19.48,-168.83
"2024-07-03","11:00:00",5519.16,"1 Jul 3 5500 P STO 0.80 | 1 Jul 3 5535 C STO 0.40",120,5537.02,"2024-07-03","13:00:00",202,"Expired",-82,1,136483,108799.2,"0dte_strangle_10delta_1100",-1.57,11.72,66.67,-216.67
"2024-07-03","11:00:00",5519.16,"1 Jul 3 5505 P STO 1.25 | 1 Jul 3 5530 C STO 0.90",215,5537.02,"2024-07-03","13:00:00",702,"Expired",-487,1,136565,109299.2,"0dte_strangle_15delta_1100",-1.57,11.72,41.86,-300
"2024-07-03","11:00:00",5519.16,"1 Jul 3 5505 P STO 1.25 | 1 Jul 3 5530 C STO 0.90",215,5537.02,"2024-07-03","13:00:00",702,"Expired",-487,1,137052,109299.2,"0dte_strangle_20delta_1100 ",-1.57,11.72,41.86,-300
"2024-07-02","15:15:00",5498.61,"1 Jul 3 5465 P STO 1.15 | 1 Jul 3 5525 C STO 1.20",235,5537.02,"2024-07-03","13:00:00",1202,"Expired",-967,1,137539,107333.2,"1dte_strangle_10delta_1515",-13.25,36.77,31.91,-482.98
"2024-07-02","15:15:00",5498.61,"1 Jul 3 5475 P STO 2.00 | 1 Jul 3 5520 C STO 1.90",390,5537.02,"2024-07-03","13:00:00",1702,"Expired",-1312,1,138506,107833.2,"1dte_strangle_15delta_1515",-13.25,36.77,25.64,-378.21
"2024-07-02","15:15:00",5498.61,"1 Jul 3 5480 P STO 2.65 | 1 Jul 3 5520 C STO 1.90",455,5537.02,"2024-07-03","13:00:00",1702,"Expired",-1247,1,139818,108111.2,"1dte_strangle_20delta_1515",-13.25,36.77,32.97,-309.89
"2024-07-02","11:00:00",5477.84,"1 Jul 2 5445 P STO 1.15 | 1 Jul 2 5500 C STO 1.05",220,5509.01,"2024-07-02","16:00:00",901,"Expired",-681,1,141065,107340.8,"0dte_strangle_10delta_1100",-13.25,16,63.64,-311.36
"2024-07-02","11:00:00",5477.84,"1 Jul 2 5455 P STO 2.05 | 1 Jul 2 5495 C STO 1.80",385,5509.01,"2024-07-02","16:00:00",1401,"Expired",-1016,1,141746,107840.8,"0dte_strangle_15delta_1100",-13.25,16,58.44,-264.94
"2024-07-02","11:00:00",5477.84,"1 Jul 2 5460 P STO 2.70 | 1 Jul 2 5495 C STO 1.80",450,5509.01,"2024-07-02","16:00:00",1401,"Expired",-951,1,142762,107772.8,"0dte_strangle_20delta_1100 ",-13.25,16,58.89,-212.22
"2024-07-01","15:15:00",5471.11,"1 Jul 2 5435 P STO 1.70 | 1 Jul 2 5505 C STO 1.40",310,5509.01,"2024-07-02","16:00:00",401,"Expired",-91,1,143713,106033.2,"1dte_strangle_10delta_1515",10.6,0.03,85.48,-56.45
"2024-07-01","15:15:00",5471.11,"1 Jul 2 5440 P STO 2.20 | 1 Jul 2 5500 C STO 2.05",425,5509.01,"2024-07-02","16:00:00",901,"Expired",-476,1,143804,106533.2,"1dte_strangle_15delta_1515",10.6,0.03,83.53,-112.94
"2024-07-01","15:15:00",5471.11,"1 Jul 2 5450 P STO 3.75 | 1 Jul 2 5500 C STO 2.05",580,5509.01,"2024-07-02","16:00:00",901,"Expired",-321,1,144280,107311.2,"1dte_strangle_20delta_1515",10.6,0.03,83.62,-56.03
"2024-07-01","11:00:00",5454.51,"1 Jul 1 5415 P STO 1.55 | 1 Jul 1 5490 C STO 1.15",270,5475.09,"2024-07-01","16:00:00",0,"Expired",270,1,144601,105541.2,"0dte_strangle_10delta_1100",10.6,-16.57,100,-14.81
"2024-07-01","11:00:00",5454.51,"1 Jul 1 5425 P STO 2.80 | 1 Jul 1 5480 C STO 2.30",510,5475.09,"2024-07-01","16:00:00",0,"Expired",510,1,144331,106541.2,"0dte_strangle_15delta_1100",10.6,-16.57,100,-9.8
