book,open_date,pnl,prediction,fold,keep
CALLS_1DTE_1515,2025-05-27,500.0,-513.927541952655,8,False
CALLS_1DTE_1515,2025-05-28,278.0,-534.1009986209712,8,False
CALLS_1DTE_1515,2025-05-29,-525.0,-509.49087189522237,8,False
CALLS_1DTE_1515,2025-05-30,-510.0,-547.4461499734135,8,False
CALLS_1DTE_1515,2025-06-02,-505.0,-516.3695102804802,8,False
CALLS_1DTE_1515,2025-06-03,419.0,-515.2907517566871,8,False
CALLS_1DTE_1515,2025-06-04,510.0,-531.6305840521586,8,False
CALLS_1DTE_1515,2025-06-05,-505.0,-506.515708424927,8,False
CALLS_1DTE_1515,2025-06-06,470.0,-506.7750147651277,8,False
CALLS_1DTE_1515,2025-06-09,-510.0,-539.0038880104141,8,False
CALLS_1DTE_1515,2025-06-10,490.0,-528.9172364672506,8,False
CALLS_1DTE_1515,2025-06-11,-500.0,-516.0545130023156,8,False
CALLS_1DTE_1515,2025-06-12,540.0,-510.23116739026307,8,False
CALLS_1DTE_1515,2025-06-13,-470.0,-528.1112155517161,8,False
CALLS_1DTE_1515,2025-06-16,540.0,-503.3782263495482,8,False
CALLS_1DTE_1515,2025-06-17,545.0,-554.7944498982246,8,False
CALLS_1DTE_1515,2025-06-18,545.0,-514.1689483317843,8,False
CALLS_1DTE_1515,2025-06-20,-480.0,-513.6126323539128,8,False
CALLS_1DTE_1515,2025-06-23,-480.0,-512.5483956098539,8,False
CALLS_1DTE_1515,2025-06-24,515.0,-532.2467807978944,8,False
CALLS_1DTE_1515,2025-06-25,-490.0,-510.5235534199847,8,False
CALLS_1DTE_1515,2025-06-26,-515.0,-519.9604407072767,8,False
CALLS_1DTE_1515,2025-06-27,-510.0,-510.02644685125415,8,False
CALLS_1DTE_1515,2025-06-30,455.0,-534.7997700829961,8,False
CALLS_1DTE_1515,2025-07-01,-525.0,-536.7097685460676,8,False
CALLS_1DTE_1515,2025-07-02,-480.0,-526.1183014400926,8,False
CALLS_1DTE_1515,2025-07-07,-47.0,-521.2651968756013,8,False
CALLS_1DTE_1515,2025-07-08,-510.0,-525.3109747881683,8,False
CALLS_1DTE_1515,2025-07-09,-540.0,-524.5851747427769,8,False
CALLS_1DTE_1515,2025-07-10,515.0,-533.6037136029283,8,False
CALLS_1DTE_1515,2025-07-11,134.0,-541.3362952538921,8,False
CALLS_1DTE_1515,2025-07-14,500.0,-541.7323153378446,8,False
CALLS_1DTE_1515,2025-07-15,-365.0,-511.9537845323078,8,False
CALLS_1DTE_1515,2025-07-16,-490.0,-529.7224924355929,8,False
CALLS_1DTE_1515,2025-07-17,510.0,-524.5489607346243,8,False
CALLS_1DTE_1515,2025-07-18,-525.0,-527.3030407343095,8,False
CALLS_1DTE_1515,2025-07-21,515.0,-515.3080518892367,8,False
CALLS_1DTE_1515,2025-07-22,-495.0,-531.1975707438451,8,False
CALLS_1DTE_1515,2025-07-23,-355.0,-528.8741585462229,8,False
CALLS_1DTE_1515,2025-07-24,-500.0,-532.853774740171,8,False
CALLS_1DTE_1515,2025-07-25,410.0,-523.5409508788188,8,False
CALLS_1DTE_1515,2025-07-28,485.0,-518.2603503953288,8,False
